Periodo,Entidad federativa,Numero de Denfunciones por Fiebre Hemorrágica por Dengue,Número de casos confirmados para Fiebre Hemorrágica por Dengue confirmados por Laboratorio,Tasa de Letalidad por 100
1990,Nacional,0,8,0
1990,Aguascalientes,0,0,0
1990,Baja California,0,0,0
1990,Baja California Sur,0,0,0
1990,Campeche,0,1,0
1990,Chiapas,0,0,0
1990,Chihuahua,0,0,0
1990,Coahuila,0,0,0
1990,Colima,0,0,0
1990,Distrito Federal,0,1,0
1990,Durango,0,0,0
1990,Guanajuato,0,0,0
1990,Guerrero,0,3,0
1990,Hidalgo,0,0,0
1990,Jalisco,0,0,0
1990,México,0,0,0
1990,Michoacán,0,0,0
1990,Morelos,0,1,0
1990,Nayarit,0,0,0
1990,Nuevo León,0,0,0
1990,Oaxaca,0,0,0
1990,Puebla,0,0,0
1990,Querétaro,0,0,0
1990,Quintana Roo,0,0,0
1990,San Luis Potosí,0,0,0
1990,Sinaloa,0,2,0
1990,Sonora,0,0,0
1990,Tabasco,0,0,0
1990,Tamaulipas,0,0,0
1990,Tlaxcala,0,0,0
1990,Veracruz,0,0,0
1990,Yucatán,0,0,0
1990,Zacatecas,0,0,0
1991,Nacional,0,2,0
1991,Aguascalientes,0,0,0
1991,Baja California,0,0,0
1991,Baja California Sur,0,0,0
1991,Campeche,0,0,0
1991,Chiapas,0,1,0
1991,Chihuahua,0,0,0
1991,Coahuila,0,0,0
1991,Colima,0,0,0
1991,Distrito Federal,0,0,0
1991,Durango,0,0,0
1991,Guanajuato,0,0,0
1991,Guerrero,0,1,0
1991,Hidalgo,0,0,0
1991,Jalisco,0,0,0
1991,México,0,0,0
1991,Michoacán,0,0,0
1991,Morelos,0,0,0
1991,Nayarit,0,0,0
1991,Nuevo León,0,0,0
1991,Oaxaca,0,0,0
1991,Puebla,0,0,0
1991,Querétaro,0,0,0
1991,Quintana Roo,0,0,0
1991,San Luis Potosí,0,0,0
1991,Sinaloa,0,0,0
1991,Sonora,0,0,0
1991,Tabasco,0,0,0
1991,Tamaulipas,0,0,0
1991,Tlaxcala,0,0,0
1991,Veracruz,0,0,0
1991,Yucatán,0,0,0
1991,Zacatecas,0,0,0
1992,Nacional,0,0,0
1992,Aguascalientes,0,0,0
1992,Baja California,0,0,0
1992,Baja California Sur,0,0,0
1992,Campeche,0,0,0
1992,Chiapas,0,0,0
1992,Chihuahua,0,0,0
1992,Coahuila,0,0,0
1992,Colima,0,0,0
1992,Distrito Federal,0,0,0
1992,Durango,0,0,0
1992,Guanajuato,0,0,0
1992,Guerrero,0,0,0
1992,Hidalgo,0,0,0
1992,Jalisco,0,0,0
1992,México,0,0,0
1992,Michoacán,0,0,0
1992,Morelos,0,0,0
1992,Nayarit,0,0,0
1992,Nuevo León,0,0,0
1992,Oaxaca,0,0,0
1992,Puebla,0,0,0
1992,Querétaro,0,0,0
1992,Quintana Roo,0,0,0
1992,San Luis Potosí,0,0,0
1992,Sinaloa,0,0,0
1992,Sonora,0,0,0
1992,Tabasco,0,0,0
1992,Tamaulipas,0,0,0
1992,Tlaxcala,0,0,0
1992,Veracruz,0,0,0
1992,Yucatán,0,0,0
1992,Zacatecas,0,0,0
1993,Nacional,0,0,0
1993,Aguascalientes,0,0,0
1993,Baja California,0,0,0
1993,Baja California Sur,0,0,0
1993,Campeche,0,0,0
1993,Chiapas,0,0,0
1993,Chihuahua,0,0,0
1993,Coahuila,0,0,0
1993,Colima,0,0,0
1993,Distrito Federal,0,0,0
1993,Durango,0,0,0
1993,Guanajuato,0,0,0
1993,Guerrero,0,0,0
1993,Hidalgo,0,0,0
1993,Jalisco,0,0,0
1993,México,0,0,0
1993,Michoacán,0,0,0
1993,Morelos,0,0,0
1993,Nayarit,0,0,0
1993,Nuevo León,0,0,0
1993,Oaxaca,0,0,0
1993,Puebla,0,0,0
1993,Querétaro,0,0,0
1993,Quintana Roo,0,0,0
1993,San Luis Potosí,0,0,0
1993,Sinaloa,0,0,0
1993,Sonora,0,0,0
1993,Tabasco,0,0,0
1993,Tamaulipas,0,0,0
1993,Tlaxcala,0,0,0
1993,Veracruz,0,0,0
1993,Yucatán,0,0,0
1993,Zacatecas,0,0,0
1994,Nacional,7,30,23.33333333
1994,Aguascalientes,0,0,0
1994,Baja California,0,0,0
1994,Baja California Sur,0,0,0
1994,Campeche,0,1,0
1994,Chiapas,0,0,0
1994,Chihuahua,0,0,0
1994,Coahuila,0,0,0
1994,Colima,0,0,0
1994,Distrito Federal,0,0,0
1994,Durango,0,0,0
1994,Guanajuato,0,0,0
1994,Guerrero,0,0,0
1994,Hidalgo,0,0,0
1994,Jalisco,0,0,0
1994,México,0,0,0
1994,Michoacán,0,0,0
1994,Morelos,0,0,0
1994,Nayarit,0,0,0
1994,Nuevo León,0,0,0
1994,Oaxaca,0,0,0
1994,Puebla,0,0,0
1994,Querétaro,0,0,0
1994,Quintana Roo,1,2,50
1994,San Luis Potosí,0,0,0
1994,Sinaloa,1,12,8.333333333
1994,Sonora,0,0,0
1994,Tabasco,3,4,75
1994,Tamaulipas,0,0,0
1994,Tlaxcala,0,0,0
1994,Veracruz,1,5,20
1994,Yucatán,1,6,16.66666667
1994,Zacatecas,0,0,0
1995,Nacional,15,539,2.782931354
1995,Aguascalientes,0,0,0
1995,Baja California,0,0,0
1995,Baja California Sur,0,1,0
1995,Campeche,0,2,0
1995,Chiapas,0,27,0
1995,Chihuahua,0,0,0
1995,Coahuila,0,6,0
1995,Colima,0,10,0
1995,Distrito Federal,0,0,0
1995,Durango,0,0,0
1995,Guanajuato,0,0,0
1995,Guerrero,0,9,0
1995,Hidalgo,0,0,0
1995,Jalisco,0,0,0
1995,México,0,0,0
1995,Michoacán,0,8,0
1995,Morelos,0,7,0
1995,Nayarit,0,5,0
1995,Nuevo León,0,168,0
1995,Oaxaca,0,14,0
1995,Puebla,0,4,0
1995,Querétaro,0,0,0
1995,Quintana Roo,0,1,0
1995,San Luis Potosí,1,6,16.66666667
1995,Sinaloa,4,145,2.75862069
1995,Sonora,0,2,0
1995,Tabasco,1,4,25
1995,Tamaulipas,0,37,0
1995,Tlaxcala,0,0,0
1995,Veracruz,9,79,11.39240506
1995,Yucatán,0,4,0
1995,Zacatecas,0,0,0
1996,Nacional,29,1456,1.991758242
1996,Aguascalientes,0,0,0
1996,Baja California,0,0,0
1996,Baja California Sur,0,2,0
1996,Campeche,0,2,0
1996,Chiapas,0,25,0
1996,Chihuahua,0,0,0
1996,Coahuila,0,81,0
1996,Colima,0,100,0
1996,Distrito Federal,0,0,0
1996,Durango,0,0,0
1996,Guanajuato,0,0,0
1996,Guerrero,0,31,0
1996,Hidalgo,0,2,0
1996,Jalisco,0,3,0
1996,México,0,0,0
1996,Michoacán,0,19,0
1996,Morelos,0,16,0
1996,Nayarit,0,1,0
1996,Nuevo León,0,90,0
1996,Oaxaca,0,25,0
1996,Puebla,0,1,0
1996,Querétaro,0,0,0
1996,Quintana Roo,0,8,0
1996,San Luis Potosí,1,8,12.5
1996,Sinaloa,1,10,10
