Periodo,Entidad de Ocurrencia,Defunciones por Accidente de Trafico de Vehiculo de Motor,Poblacion Total,Tasa de Mortalidad por Accidente de Trafico de Vehiculo de Motor
1990,Aguascalientes,118,824227,14.31644438
1990,Baja California,321,1732550,18.52760382
1990,Baja California Sur,94,339387,27.69699488
1990,Campeche,98,553106,17.71812275
1990,Coahuila de Zaragoza,286,2005016,14.26422532
1990,Colima,123,473115,25.99790749
1990,Chiapas,152,3314875,4.585391606
1990,Chihuahua,439,2408000,18.23089701
1990,Distrito Federal,1549,8695562,17.81368473
1990,Durango,170,1389199,12.23726766
1990,Guanajuato,1120,4657092,24.04934238
1990,Guerrero,373,3021955,12.34300312
1990,Hidalgo,362,2207154,16.4012117
1990,Jalisco,1299,5765386,22.53101527
1990,México,1264,10083763,12.53500305
1990,Michoacán de Ocampo,592,3978777,14.87894396
1990,Morelos,146,1397700,10.44573227
1990,Nayarit,159,851666,18.66929054
1990,Nuevo León,187,3236128,5.778510615
1990,Oaxaca,425,3361672,12.64251837
1990,Puebla,450,4494848,10.01146201
1990,Querétaro de Arteaga,169,1245271,13.57134311
1990,Quintana Roo,124,574852,21.57076952
1990,San Luis Potosí,385,2202098,17.48332726
1990,Sinaloa,443,2215227,19.99795055
1990,Sonora,622,1858664,33.46489737
1990,Tabasco,314,1637553,19.17495189
1990,Tamaulipas,470,2252956,20.86148154
1990,Tlaxcala,176,817427,21.53097463
1990,Veracruz Llave,898,6615976,13.57320522
1990,Yucatán,245,1444723,16.95826812
1990,Zacatecas,317,1408922,22.49947123
1990,Nacional,13890,87064847,15.95362592
1991,Aguascalientes,180,844162,21.32292143
1991,Baja California,351,1815903,19.32922629
1991,Baja California Sur,79,351246,22.49135933
1991,Campeche,125,568384,21.9921743
1991,Coahuila de Zaragoza,301,2042564,14.73638035
1991,Colima,136,483048,28.15455193
1991,Chiapas,160,3395180,4.712563104
1991,Chihuahua,345,2465322,13.99411517
1991,Distrito Federal,1675,8738833,19.16731902
1991,Durango,213,1402493,15.18724158
1991,Guanajuato,992,4718814,21.02223143
1991,Guerrero,478,3049039,15.67707071
1991,Hidalgo,283,2227905,12.70251649
1991,Jalisco,1331,5861907,22.70592147
1991,México,966,10403594,9.285252769
1991,Michoacán de Ocampo,684,4015276,17.03494355
1991,Morelos,158,1423487,11.09950425
1991,Nayarit,175,862823,20.28225951
1991,Nuevo León,175,3308191,5.28990013
1991,Oaxaca,453,3396857,13.33585724
1991,Puebla,411,4575107,8.983396454
1991,Querétaro de Arteaga,329,1277558,25.75225547
1991,Quintana Roo,144,610571,23.58448076
1991,San Luis Potosí,423,2227649,18.98862882
1991,Sinaloa,464,2251748,20.60621348
1991,Sonora,583,1901710,30.65661957
1991,Tabasco,319,1675650,19.03738848
1991,Tamaulipas,485,2300861,21.07906562
1991,Tlaxcala,157,836761,18.76282475
1991,Veracruz Llave,919,6709491,13.69701517
1991,Yucatán,214,1474038,14.51794323
1991,Zacatecas,362,1414769,25.587216
1991,Nacional,14070,88630941,15.87481735
1992,Aguascalientes,131,863697,15.16735614
1992,Baja California,290,1895648,15.29819882
1992,Baja California Sur,111,363307,30.55267308
1992,Campeche,110,583930,18.8378744
1992,Coahuila de Zaragoza,313,2080707,15.04296376
1992,Colima,146,492181,29.66388382
1992,Chiapas,190,3476913,5.464617608
1992,Chihuahua,267,2521954,10.58702895
1992,Distrito Federal,1720,8772275,19.60722846
