Periodo,Entidad de Residencia,Defunciones por Cancer de Prostata,Poblacion Total Masculina,Tasa de Mortalidad por Cancer de Prostata
1990,Aguascalientes,29,52915,54.80487574
1990,Baja California,43,108041,39.79970567
1990,Baja California Sur,13,22023,59.02919675
1990,Campeche,9,49340,18.24077827
1990,Coahuila de Zaragoza,84,142384,58.99539274
1990,Colima,18,38901,46.27130408
1990,Chiapas,64,275956,23.19210309
1990,Chihuahua,78,177619,43.91422089
1990,Distrito Federal,292,627861,46.50710906
1990,Durango,39,105828,36.85225082
1990,Guanajuato,129,330599,39.02008173
1990,Guerrero,38,262037,14.50176883
1990,Hidalgo,56,173274,32.31875527
1990,Jalisco,223,442058,50.44586909
1990,México,173,597318,28.96279704
1990,Michoacán de Ocampo,146,336382,43.40303583
1990,Morelos,39,115626,33.72943802
1990,Nayarit,35,79719,43.90421355
1990,Nuevo León,77,231402,33.27542545
1990,Oaxaca,41,314935,13.01855939
1990,Puebla,73,349517,20.88596549
1990,Querétaro de Arteaga,20,80449,24.86047061
1990,Quintana Roo,6,28145,21.31817374
1990,San Luis Potosí,71,193751,36.64497215
1990,Sinaloa,94,172351,54.53986342
1990,Sonora,82,141080,58.12305075
1990,Tabasco,34,123343,27.56540704
1990,Tamaulipas,61,174476,34.96182856
1990,Tlaxcala,14,67423,20.76442757
1990,Veracruz Llave,126,572472,22.00981009
1990,Yucatán,45,132170,34.0470606
1990,Zacatecas,53,122436,43.28792185
1990,Nacional,2305,6641831,34.70428561
1991,Aguascalientes,29,54795,52.92453691
1991,Baja California,55,114111,48.19868374
1991,Baja California Sur,17,23022,73.84241161
1991,Campeche,19,50287,37.78312486
1991,Coahuila de Zaragoza,52,147611,35.22772693
1991,Colima,18,39877,45.13880182
1991,Chiapas,52,278443,18.67527645
1991,Chihuahua,93,183928,50.56326389
1991,Distrito Federal,348,647520,53.74351371
1991,Durango,51,108255,47.11098795
1991,Guanajuato,125,337454,37.04208574
1991,Guerrero,53,264205,20.06018054
1991,Hidalgo,56,176808,31.67277499
1991,Jalisco,225,453808,49.5804393
1991,México,191,627644,30.43126358
1991,Michoacán de Ocampo,135,341145,39.57261575
1991,Morelos,20,118770,16.83926918
1991,Nayarit,38,81043,46.88868872
1991,Nuevo León,96,240693,39.88483255
1991,Oaxaca,52,318730,16.31474916
1991,Puebla,86,356721,24.10847693
1991,Querétaro de Arteaga,21,83108,25.26832555
1991,Quintana Roo,4,30185,13.25161504
1991,San Luis Potosí,71,196901,36.05873002
1991,Sinaloa,85,178257,47.68396192
1991,Sonora,84,146402,57.37626535
1991,Tabasco,35,125811,27.81950704
1991,Tamaulipas,67,179609,37.30325318
1991,Tlaxcala,20,68822,29.06047485
1991,Veracruz Llave,175,582773,30.02884485
1991,Yucatán,34,135706,25.0541612
1991,Zacatecas,48,123832,38.76219394
1991,Nacional,2455,6816276,36.01673406
1992,Aguascalientes,29,56819,51.03926503
1992,Baja California,38,120433,31.5528136
1992,Baja California Sur,21,24218,86.71236271
1992,Campeche,18,51499,34.95213499
1992,Coahuila de Zaragoza,64,153193,41.77736581
1992,Colima,21,40899,51.34599868
1992,Chiapas,63,282316,22.3154196
1992,Chihuahua,78,190416,40.96294429
1992,Distrito Federal,335,667781,50.16614728
1992,Durango,27,110692,24.39200665
1992,Guanajuato,127,344756,36.8376475
1992,Guerrero,37,266629,13.87696012
1992,Hidalgo,39,180643,21.58954402
1992,Jalisco,293,465900,62.88903198
1992,México,174,660129,26.35848448
1992,Michoacán de Ocampo,135,345969,39.02083713
1992,Morelos,31,122109,25.3871541
1992,Nayarit,31,82643,37.51073896
1992,Nuevo León,82,250376,32.75074288
1992,Oaxaca,60,322586,18.59969125
1992,Puebla,102,364554,27.979394
1992,Querétaro de Arteaga,22,85967,25.59121523
1992,Quintana Roo,6,32395,18.52137676
1992,San Luis Potosí,74,200220,36.95934472
1992,Sinaloa,84,184186,45.60607212
1992,Sonora,63,151957,41.45909698
1992,Tabasco,35,128459,27.24604738
1992,Tamaulipas,69,185512,37.19435939
1992,Tlaxcala,11,70299,15.64744875
1992,Veracruz Llave,185,594594,31.11366748
1992,Yucatán,41,139366,29.41894006
1992,Zacatecas,41,125138,32.76382873
1992,Nacional,2436,7002653,34.7868158
1993,Aguascalientes,28,58907,47.53255131
1993,Baja California,65,127069,51.15331041
1993,Baja California Sur,17,25471,66.74256998
1993,Campeche,12,52705,22.76823831
1993,Coahuila de Zaragoza,76,158965,47.80926619
1993,Colima,23,41931,54.85201879
1993,Chiapas,82,286070,28.66431293
1993,Chihuahua,101,197073,51.2500444
1993,Distrito Federal,330,688599,47.92339228
1993,Durango,35,113143,30.93430438
1993,Guanajuato,123,352200,34.92333901
1993,Guerrero,50,268739,18.60541269
1993,Hidalgo,51,184489,27.64392457
1993,Jalisco,254,478095,53.1275165
1993,México,225,693988,32.42130988
1993,Michoacán de Ocampo,139,350563,39.65050504
1993,Morelos,39,125469,31.08337518
1993,Nayarit,43,84157,51.09497724
1993,Nuevo León,93,260322,35.72498675
1993,Oaxaca,85,326156,26.06114865
1993,Puebla,116,372453,31.14486929
1993,Querétaro de Arteaga,27,88954,30.3527666
1993,Quintana Roo,8,34740,23.02820956
1993,San Luis Potosí,73,203426,35.88528507
1993,Sinaloa,70,190082,36.82621185
1993,Sonora,72,157730,45.64762569
1993,Tabasco,39,131192,29.7274224
1993,Tamaulipas,68,191595,35.49153162
1993,Tlaxcala,21,71812,29.24302345
1993,Veracruz Llave,204,606005,33.66308859
1993,Yucatán,53,143077,37.04299084
1993,Zacatecas,54,126362,42.73436634
1993,Nacional,2676,7191539,37.21039405
1994,Aguascalientes,36,61071,58.94778209
1994,Baja California,62,134108,46.23139559
1994,Baja California Sur,11,26825,41.00652377
1994,Campeche,18,54013,33.32531057
1994,Coahuila de Zaragoza,80,164976,48.49190185
1994,Colima,23,43046,53.43121312
1994,Chiapas,82,290531,28.22418262
1994,Chihuahua,100,204026,49.01336104
1994,Distrito Federal,350,710104,49.28855492
1994,Durango,43,115677,37.17247162
1994,Guanajuato,149,359968,41.39256823
1994,Guerrero,58,271163,21.38934884
1994,Hidalgo,63,188564,33.41040708
1994,Jalisco,319,490686,65.01102538
1994,México,219,729539,30.01895718
1994,Michoacán de Ocampo,182,355320,51.2214342
1994,Morelos,46,128968,35.66776255
1994,Nayarit,38,85704,44.33865397
1994,Nuevo León,119,270713,43.95799241
1994,Oaxaca,58,329917,17.58017926
1994,Puebla,119,380729,31.25582764
1994,Querétaro de Arteaga,32,92095,34.74672892
1994,Quintana Roo,9,37243,24.16561501
1994,San Luis Potosí,74,206748,35.79236559
1994,Sinaloa,81,196090,41.30756285
1994,Sonora,102,163789,62.27524437
1994,Tabasco,48,134272,35.74833174
1994,Tamaulipas,93,198001,46.96945975
1994,Tlaxcala,24,73405,32.69532048
1994,Veracruz Llave,219,618164,35.42749173
1994,Yucatán,52,146883,35.40232702
1994,Zacatecas,69,127628,54.06337167
1994,Nacional,2978,7389966,40.297885
1995,Aguascalientes,25,63344,39.46703713
1995,Baja California,74,141568,52.27169982
1995,Baja California Sur,18,28264,63.68525333
1995,Campeche,21,55431,37.88493803
1995,Coahuila de Zaragoza,65,171246,37.95709097
1995,Colima,17,44252,38.41634276
1995,Chiapas,99,295778,33.47104923
1995,Chihuahua,86,211259,40.70832485
1995,Distrito Federal,391,732379,53.38765858
1995,Durango,44,118263,37.20521211
1995,Guanajuato,158,368075,42.9260341
1995,Guerrero,64,274001,23.35757899
1995,Hidalgo,66,192920,34.21107195
1995,Jalisco,295,503700,58.56660711
1995,México,241,767011,31.42067063
1995,Michoacán de Ocampo,196,360389,54.3856777
1995,Morelos,46,132591,34.69315414
1995,Nayarit,44,87363,50.36457081
1995,Nuevo León,128,281560,45.46100298
1995,Oaxaca,93,334025,27.84222738
1995,Puebla,131,389431,33.63882177
1995,Querétaro de Arteaga,35,95397,36.68878476
1995,Quintana Roo,4,39916,10.02104419
1995,San Luis Potosí,64,210239,30.4415451
1995,Sinaloa,107,202299,52.89200639
1995,Sonora,96,170148,56.42146837
1995,Tabasco,54,137745,39.20287488
1995,Tamaulipas,80,204807,39.0611649
1995,Tlaxcala,22,75083,29.300907
1995,Veracruz Llave,247,631223,39.13038657
1995,Yucatán,52,150820,34.47818592
1995,Zacatecas,49,128948,37.99981388
1995,Nacional,3112,7599475,40.95019722
1996,Aguascalientes,31,65714,47.17411815
1996,Baja California,72,149454,48.1753583
1996,Baja California Sur,10,29840,33.51206434
1996,Campeche,14,56946,24.58469427
1996,Coahuila de Zaragoza,78,177776,43.87543875
1996,Colima,23,45534,50.51170554
1996,Chiapas,87,301723,28.83439446
1996,Chihuahua,113,218785,51.64887904
1996,Distrito Federal,384,755471,50.8292178
1996,Durango,47,120928,38.86610214
