Periodo,Entidad de Residencia,Defunciones por EPOC,Poblacion Total,Tasa de Mortalidad por EPOC
1990,Aguascalientes,125,824227,15.16572498
1990,Baja California,168,1732550,9.69668985
1990,Baja California Sur,38,339387,11.1966575
1990,Campeche,41,553106,7.412684006
1990,Coahuila de Zaragoza,329,2005016,16.40884661
1990,Colima,69,473115,14.584192
1990,Chiapas,253,3314875,7.63226366
1990,Chihuahua,352,2408000,14.6179402
1990,Distrito Federal,1772,8695562,20.37821132
1990,Durango,221,1389199,15.90844796
1990,Guanajuato,755,4657092,16.21183348
1990,Guerrero,160,3021955,5.29458579
1990,Hidalgo,248,2207154,11.23618923
1990,Jalisco,1172,5765386,20.32821393
1990,México,1543,10083763,15.3018273
1990,Michoacán de Ocampo,608,3978777,15.28107758
1990,Morelos,173,1397700,12.37747728
1990,Nayarit,88,851666,10.33268911
1990,Nuevo León,459,3236128,14.18361696
1990,Oaxaca,293,3361672,8.715900897
1990,Puebla,806,4494848,17.93164085
1990,Querétaro de Arteaga,138,1245271,11.08192514
1990,Quintana Roo,29,574852,5.044776743
1990,San Luis Potosí,275,2202098,12.4880909
1990,Sinaloa,288,2215227,13.00092496
1990,Sonora,351,1858664,18.88453212
1990,Tabasco,161,1637553,9.83174285
1990,Tamaulipas,387,2252956,17.17743267
1990,Tlaxcala,126,817427,15.41422047
1990,Veracruz Llave,599,6615976,9.053841791
1990,Yucatán,183,1444723,12.66678803
1990,Zacatecas,205,1408922,14.55013124
1990,Nacional,12415,87064847,14.25948638
1991,Aguascalientes,144,844162,17.05833714
1991,Baja California,172,1815903,9.47187157
1991,Baja California Sur,54,351246,15.37384056
1991,Campeche,44,568384,7.741245355
1991,Coahuila de Zaragoza,354,2042564,17.33115829
1991,Colima,71,483048,14.69833226
1991,Chiapas,227,3395180,6.685948904
1991,Chihuahua,366,2465322,14.84593088
1991,Distrito Federal,1750,8738833,20.02555719
1991,Durango,189,1402493,13.47600309
1991,Guanajuato,755,4718814,15.999783
1991,Guerrero,173,3049039,5.673918897
1991,Hidalgo,233,2227905,10.45825563
1991,Jalisco,1095,5861907,18.67992788
1991,México,1439,10403594,13.83175852
1991,Michoacán de Ocampo,620,4015276,15.4410307
1991,Morelos,137,1423487,9.624253681
1991,Nayarit,142,862823,16.45760486
