Periodo,Entidad de Residencia,Defunciones Neonatales Estimadas,Nacimientos,Tasa de Mortalidad Neonatal
1990,Aguascalientes,435,26101,16.65526487
1990,Baja California,603,45300,13.29979748
1990,Baja California Sur,135,8843,15.3210687
1990,Campeche,190,16012,11.78314737
1990,Coahuila de Zaragoza,762,56379,13.46915198
1990,Colima,157,13088,11.97010014
1990,Chiapas,1914,114499,16.71533043
1990,Chihuahua,955,61072,15.63718047
1990,Distrito Federal,2379,186142,12.74771939
1990,Durango,590,40558,14.51244501
1990,Guanajuato,2380,137106,17.35688925
1990,Guerrero,1327,95543,13.72899209
1990,Hidalgo,1050,62553,16.78514039
1990,Jalisco,2395,162264,14.69053006
1990,México,4467,291864,15.25832948
1990,Michoacán de Ocampo,1794,113947,15.73174574
1990,Morelos,535,37204,14.33271527
1990,Nayarit,299,22389,13.35689933
1990,Nuevo León,863,79776,10.80408453
1990,Oaxaca,1710,98740,17.3196574
1990,Puebla,2739,138891,19.71451943
1990,Querétaro de Arteaga,632,39042,16.16738508
1990,Quintana Roo,291,17761,16.36684808
1990,San Luis Potosí,1064,63082,16.84078074
1990,Sinaloa,663,59665,10.72810561
1990,Sonora,582,49986,11.64143022
1990,Tabasco,710,50025,14.20123272
1990,Tamaulipas,772,58270,13.21615762
1990,Tlaxcala,457,25233,18.11939539
1990,Veracruz Llave,3021,178112,16.94597117
1990,Yucatán,576,41781,13.75277458
1990,Zacatecas,665,38794,17.13974485
1990,Nacional,38080,2430022,15.63964565
1991,Aguascalientes,454,26427,17.16993983
1991,Baja California,634,46737,13.43815843
1991,Baja California Sur,124,8995,13.79978124
1991,Campeche,232,16298,14.13152687
1991,Coahuila de Zaragoza,765,56872,13.45953348
1991,Colima,186,13099,14.17940301
1991,Chiapas,2075,116184,17.86168264
1991,Chihuahua,966,61696,15.65208952
1991,Distrito Federal,2407,183141,13.12183942
1991,Durango,584,40649,14.30815438
1991,Guanajuato,2551,136891,18.63514377
1991,Guerrero,1495,96714,15.41022619
1991,Hidalgo,1118,62471,17.88934413
1991,Jalisco,2470,162258,15.19602687
1991,México,4790,294662,16.2464632
1991,Michoacán de Ocampo,1892,113599,16.65069374
1991,Morelos,570,37552,15.18511442
