Periodo,Entidad federativa,"Tasa de mortalidad por tuberculosis (todas las formas), defunciones por cada 100 mil habitantes",Defunciones por cualquier tipo de tuberculosis,Población total
1990,Nacional,7.117683214,6197,87064847
1990,Aguascalientes,3.761099794,31,824227
1990,Baja California,11.88998874,206,1732550
1990,Baja California Sur,7.955519805,27,339387
1990,Campeche,6.508698152,36,553106
1990,Coahuila de Zaragoza,9.226859038,185,2005016
1990,Colima,9.300064466,44,473115
1990,Chiapas,16.35054112,542,3314875
1990,Chihuahua,9.759136213,235,2408000
1990,Distrito Federal,3.220033392,280,8695562
1990,Durango,6.622521323,92,1389199
1990,Guanajuato,3.564456103,166,4657092
1990,Guerrero,5.526223918,167,3021955
1990,Hidalgo,8.970828497,198,2207154
1990,Jalisco,4.527016925,261,5765386
1990,México,4.333699632,437,10083763
1990,Michoacán de Ocampo,3.669469287,146,3978777
1990,Morelos,3.720397796,52,1397700
1990,Nayarit,8.688852203,74,851666
1990,Nuevo León,7.354468056,238,3236128
1990,Oaxaca,12.70201257,427,3361672
1990,Puebla,8.60985733,387,4494848
1990,Querétaro,6.74551965,84,1245271
1990,Quintana Roo,3.131240737,18,574852
1990,San Luis Potosí,8.809780491,194,2202098
1990,Sinaloa,6.500462481,144,2215227
1990,Sonora,7.209479497,134,1858664
1990,Tabasco,9.282142318,152,1637553
1990,Tamaulipas,9.720562674,219,2252956
1990,Tlaxcala,4.648733159,38,817427
1990,Veracruz de Ignacio de la Llave,12.74188419,843,6615976
1990,Yucatán,5.675828515,82,1444723
1990,Zacatecas,4.116622496,58,1408922
1991,Nacional,6.045292919,5358,88630941
1991,Aguascalientes,3.316898889,28,844162
1991,Baja California,10.57325199,192,1815903
1991,Baja California Sur,3.416409012,12,351246
1991,Campeche,4.222497467,24,568384
1991,Coahuila de Zaragoza,9.155159887,187,2042564
1991,Colima,7.452675511,36,483048
1991,Chiapas,13.666433,464,3395180
1991,Chihuahua,7.260714828,179,2465322
1991,Distrito Federal,2.620487198,229,8738833
1991,Durango,6.84495395,96,1402493
1991,Guanajuato,3.093997771,146,4718814
1991,Guerrero,4.722799544,144,3049039
1991,Hidalgo,6.149274767,137,2227905
1991,Jalisco,3.326562499,195,5861907
1991,México,3.2392652,337,10403594
1991,Michoacán de Ocampo,3.23763547,130,4015276
1991,Morelos,4.285251639,61,1423487
1991,Nayarit,7.881106554,68,862823
1991,Nuevo León,6.13628415,203,3308191
1991,Oaxaca,11.45176261,389,3396857
1991,Puebla,7.737523953,354,4575107
1991,Querétaro,4.5399113,58,1277558
1991,Quintana Roo,1.965373396,12,610571
1991,San Luis Potosí,7.047788947,157,2227649
1991,Sinaloa,5.950932342,134,2251748
1991,Sonora,6.257526121,119,1901710
1991,Tabasco,7.042043386,118,1675650
1991,Tamaulipas,8.692398194,200,2300861
1991,Tlaxcala,4.660829078,39,836761
1991,Veracruz de Ignacio de la Llave,11.96812098,803,6709491
1991,Yucatán,4.884541647,72,1474038
1991,Zacatecas,2.4739021,35,1414769
1992,Nacional,5.784811342,5214,90132585
1992,Aguascalientes,2.662970926,23,863697
1992,Baja California,9.178919293,174,1895648
1992,Baja California Sur,2.477243764,9,363307
1992,Campeche,5.822615724,34,583930
