Periodo,Entidad federativa,Número de casos confirmados de paludismo con prueba de gota gruesa positiva que fueron registrados,Población Total,Tasa de incidencia asociada al paludismo por 100 mil habitantes
1990,Nacional,44513,87064847,51.12625995
1990,Aguascalientes,4,824227,0.485303199
1990,Baja California,2,1732550,0.115436784
1990,Baja California Sur,19,339387,5.598328752
1990,Campeche,1618,553106,292.5298225
1990,Coahuila de Zaragoza,0,2005016,0
1990,Colima,423,473115,89.40743794
1990,Chiapas,7325,3314875,220.9736415
1990,Chihuahua,829,2408000,34.4269103
1990,Distrito Federal,0,8695562,0
1990,Durango,445,1389199,32.03284771
1990,Guanajuato,25,4657092,0.536815678
1990,Guerrero,5349,3021955,177.0046212
1990,Hidalgo,357,2207154,16.17467562
1990,Jalisco,585,5765386,10.14676207
1990,México,63,10083763,0.624766766
1990,Michoacán de Ocampo,4776,3978777,120.0368857
1990,Morelos,236,1397700,16.88488231
1990,Nayarit,1276,851666,149.823992
1990,Nuevo León,10,3236128,0.309011263
1990,Oaxaca,9112,3361672,271.0555938
1990,Puebla,478,4494848,10.63439743
1990,Querétaro,38,1245271,3.051544604
1990,Quintana Roo,1576,574852,274.1575223
1990,San Luis Potosí,238,2202098,10.80787504
1990,Sinaloa,6989,2215227,315.4981408
1990,Sonora,714,1858664,38.41468926
1990,Tabasco,894,1637553,54.59365285
1990,Tamaulipas,10,2252956,0.443861309
1990,Tlaxcala,0,817427,0
1990,Veracruz de Ignacio de la Llave,981,6615976,14.82774424
1990,Yucatán,92,1444723,6.368002724
1990,Zacatecas,49,1408922,3.477836246
1991,Nacional,26565,88630941,29.97260291
1991,Aguascalientes,0,844162,0
1991,Baja California,0,1815903,0
1991,Baja California Sur,3,351246,0.854102253
1991,Campeche,804,568384,141.4536651
1991,Coahuila de Zaragoza,0,2042564,0
1991,Colima,85,483048,17.59659496
1991,Chiapas,5792,3395180,170.5947844
1991,Chihuahua,570,2465322,23.12071202
1991,Distrito Federal,0,8738833,0
1991,Durango,275,1402493,19.607941
1991,Guanajuato,2,4718814,0.042383531
1991,Guerrero,1349,3049039,44.24344851
1991,Hidalgo,847,2227905,38.01777903
1991,Jalisco,331,5861907,5.646626601
1991,México,16,10403594,0.153793007
1991,Michoacán de Ocampo,2255,4015276,56.16052296
1991,Morelos,41,1423487,2.880251102
1991,Nayarit,850,862823,98.51383192
1991,Nuevo León,2,3308191,0.060456001
1991,Oaxaca,4615,3396857,135.8608855
1991,Puebla,121,4575107,2.644746888
1991,Querétaro,11,1277558,0.86101766
1991,Quintana Roo,452,610571,74.0290646
1991,San Luis Potosí,685,2227649,30.74990719
1991,Sinaloa,5319,2251748,236.216486
1991,Sonora,506,1901710,26.60763208
1991,Tabasco,790,1675650,47.14588369
1991,Tamaulipas,14,2300861,0.608467874
1991,Tlaxcala,0,836761,0
1991,Veracruz de Ignacio de la Llave,757,6709491,11.28252501
1991,Yucatán,26,1474038,1.763862261
1991,Zacatecas,47,1414769,3.322097106
1992,Nacional,16170,90132585,17.94023771
1992,Aguascalientes,0,863697,0
1992,Baja California,0,1895648,0
