Periodo,Entidad de Residencia,Defunciones por Enfermedades Cardiovasculares,Poblacion Total,Tasa de Mortalidad por Enfermedades Cardiovasculares
1990,Aguascalientes,731,824227,88.68915966
1990,Baja California,1911,1732550,110.299847
1990,Baja California Sur,270,339387,79.55519805
1990,Campeche,456,553106,82.44350992
1990,Coahuila de Zaragoza,2299,2005016,114.6624266
1990,Colima,488,473115,103.1461695
1990,Chiapas,2004,3314875,60.45476828
1990,Chihuahua,3265,2408000,135.589701
1990,Distrito Federal,10380,8695562,119.3712379
1990,Durango,1377,1389199,99.12186807
1990,Guanajuato,4068,4657092,87.35064714
1990,Guerrero,1437,3021955,47.55199862
1990,Hidalgo,1825,2207154,82.6856667
1990,Jalisco,6761,5765386,117.2688177
1990,México,7280,10083763,72.19527075
1990,Michoacán de Ocampo,3505,3978777,88.09239623
1990,Morelos,1243,1397700,88.93181656
1990,Nayarit,890,851666,104.5010603
1990,Nuevo León,3964,3236128,122.4920646
1990,Oaxaca,2735,3361672,81.35832407
1990,Puebla,4133,4494848,91.94971665
1990,Querétaro de Arteaga,927,1245271,74.44162757
1990,Quintana Roo,190,574852,33.05198555
1990,San Luis Potosí,2249,2202098,102.129878
1990,Sinaloa,2206,2215227,99.58347384
1990,Sonora,2313,1858664,124.4442245
1990,Tabasco,1357,1637553,82.86754688
1990,Tamaulipas,2836,2252956,125.8790673
1990,Tlaxcala,728,817427,89.05994052
1990,Veracruz Llave,6395,6615976,96.6599637
1990,Yucatán,1830,1444723,126.6678803
1990,Zacatecas,1474,1408922,104.6189924
1990,Nacional,83527,87064847,95.93653797
1991,Aguascalientes,694,844162,82.21170818
1991,Baja California,2116,1815903,116.5260479
1991,Baja California Sur,295,351246,83.98672156
1991,Campeche,449,568384,78.9958901
1991,Coahuila de Zaragoza,2216,2042564,108.4910926
1991,Colima,531,483048,109.9269638
1991,Chiapas,2057,3395180,60.58588941
1991,Chihuahua,3529,2465322,143.1456013
1991,Distrito Federal,10865,8738833,124.3301022
1991,Durango,1360,1402493,96.97018096
1991,Guanajuato,4460,4718814,94.51527439
1991,Guerrero,1503,3049039,49.29422024
1991,Hidalgo,1675,2227905,75.18273894
1991,Jalisco,6720,5861907,114.6384615
1991,México,7656,10403594,73.58995363
1991,Michoacán de Ocampo,3580,4015276,89.15949987
1991,Morelos,1289,1423487,90.55228464
1991,Nayarit,870,862823,100.8318044
1991,Nuevo León,3858,3308191,116.6196269
1991,Oaxaca,2973,3396857,87.52208291
1991,Puebla,4244,4575107,92.76285779
1991,Querétaro de Arteaga,925,1277558,72.40375779
1991,Quintana Roo,227,610571,37.17831341
1991,San Luis Potosí,2129,2227649,95.57160935
1991,Sinaloa,2303,2251748,102.2760984
1991,Sonora,2457,1901710,129.1995099
1991,Tabasco,1385,1675650,82.65449229
1991,Tamaulipas,2710,2300861,117.7819955
1991,Tlaxcala,757,836761,90.46788749
1991,Veracruz Llave,6319,6709491,94.18002051
1991,Yucatán,1861,1474038,126.2518334
1991,Zacatecas,1450,1414769,102.4902299
1991,Nacional,85463,88630941,96.42569405
1992,Aguascalientes,753,863697,87.1833525
1992,Baja California,2023,1895648,106.7181249
1992,Baja California Sur,308,363307,84.77678657
1992,Campeche,516,583930,88.36675629
1992,Coahuila de Zaragoza,2339,2080707,112.4137132
1992,Colima,540,492181,109.7157347
1992,Chiapas,2157,3476913,62.03779042
1992,Chihuahua,3521,2521954,139.613966
1992,Distrito Federal,10921,8772275,124.4945011
1992,Durango,1498,1415393,105.8363296
1992,Guanajuato,4428,4777030,92.69357739
1992,Guerrero,1549,3075833,50.36034141
1992,Hidalgo,1830,2248684,81.38093214
1992,Jalisco,6983,5951246,117.3367728
1992,México,7931,10706626,74.07562382
1992,Michoacán de Ocampo,3683,4047191,91.00138837
1992,Morelos,1279,1448069,88.32452045
1992,Nayarit,907,873510,103.8339573
1992,Nuevo León,3859,3378692,114.2157971
1992,Oaxaca,3051,3433323,88.86434513
1992,Puebla,4138,4654771,88.89803602
1992,Querétaro de Arteaga,998,1309252,76.22673099
1992,Quintana Roo,235,645180,36.42394371
1992,San Luis Potosí,2230,2251877,99.02849934
1992,Sinaloa,2157,2286742,94.32633852
1992,Sonora,2582,1944455,132.7878506
1992,Tabasco,1360,1711673,79.4544285
1992,Tamaulipas,2669,2350664,113.5423863
1992,Tlaxcala,771,856069,90.06283372
1992,Veracruz Llave,6414,6793533,94.41331926
1992,Yucatán,1837,1502887,122.2314119
1992,Zacatecas,1522,1419273,107.2380014
1992,Nacional,86989,90132585,96.51226579
1993,Aguascalientes,759,882995,85.95745163
1993,Baja California,2045,1976271,103.4777113
1993,Baja California Sur,312,375535,83.08147044
1993,Campeche,481,599335,80.25561664
1993,Coahuila de Zaragoza,2473,2119320,116.6883717
1993,Colima,539,500880,107.6106053
1993,Chiapas,2231,3559521,62.67697255
1993,Chihuahua,3400,2578946,131.8368046
1993,Distrito Federal,11098,8801777,126.0881751
1993,Durango,1459,1427650,102.1959164
1993,Guanajuato,4388,4833834,90.77680367
1993,Guerrero,1691,3100542,54.53885159
1993,Hidalgo,1921,2268750,84.67217631
1993,Jalisco,7057,6036556,116.9044071
1993,México,8321,11004587,75.61392354
1993,Michoacán de Ocampo,3801,4075275,93.26977934
1993,Morelos,1372,1471328,93.24909198
1993,Nayarit,924,883537,104.5796611
1993,Nuevo León,3988,3448999,115.6277517
1993,Oaxaca,3616,3468037,104.266477
1993,Puebla,4676,4734278,98.76902032
1993,Querétaro de Arteaga,936,1340778,69.81021467
1993,Quintana Roo,280,680236,41.16218489
1993,San Luis Potosí,2270,2274743,99.79149293
1993,Sinaloa,2435,2320874,104.9173716
1993,Sonora,2731,1987353,137.4189688
1993,Tabasco,1492,1746827,85.41200703
1993,Tamaulipas,2805,2401107,116.8211163
1993,Tlaxcala,798,875468,91.1512471
1993,Veracruz Llave,6477,6871335,94.26115886
1993,Yucatán,2032,1531251,132.7019542
1993,Zacatecas,1468,1422730,103.1819108
1993,Nacional,90276,91600655,98.55388043
1994,Aguascalientes,748,902128,82.91506305
1994,Baja California,2187,2058198,106.2579985
1994,Baja California Sur,352,387994,90.72305242
1994,Campeche,554,614694,90.12614407
1994,Coahuila de Zaragoza,2373,2158403,109.9423972
1994,Colima,532,509258,104.4657129
1994,Chiapas,2322,3644811,63.70700703
1994,Chihuahua,3619,2636937,137.2425659
1994,Distrito Federal,11707,8828375,132.6065103
1994,Durango,1506,1439646,104.6090497
1994,Guanajuato,4459,4889078,91.20329027
1994,Guerrero,1816,3124968,58.11259507
1994,Hidalgo,1948,2288570,85.11865488
1994,Jalisco,7094,6118571,115.9421048
1994,México,8577,11300207,75.90126446
1994,Michoacán de Ocampo,3968,4100535,96.76786078
1994,Morelos,1312,1493515,87.84645618
1994,Nayarit,950,893093,106.3719008
1994,Nuevo León,4256,3519985,120.9096061
1994,Oaxaca,3437,3501881,98.14725286
1994,Puebla,4659,4815366,96.75277019
1994,Querétaro de Arteaga,1080,1372231,78.70394999
1994,Quintana Roo,283,715788,39.53684611
1994,San Luis Potosí,2407,2296679,104.8035011
1994,Sinaloa,2485,2354573,105.5393059
1994,Sonora,2880,2030370,141.8460675
1994,Tabasco,1598,1781609,89.69420339
1994,Tamaulipas,2977,2452645,121.3791641
1994,Tlaxcala,836,895027,93.40500342
1994,Veracruz Llave,6855,6945101,98.70266825
1994,Yucatán,2050,1559473,131.4546645
1994,Zacatecas,1514,1425591,106.2015683
1994,Nacional,93341,93055300,100.3070217
1995,Aguascalientes,749,921048,81.32040893
1995,Baja California,2288,2141231,106.8544216
1995,Baja California Sur,364,400667,90.84851011
1995,Campeche,553,629897,87.79213109
1995,Coahuila de Zaragoza,2562,2197744,116.5740869
1995,Colima,547,517359,105.7292905
1995,Chiapas,2377,3732019,63.69206588
1995,Chihuahua,3594,2695309,133.3427818
1995,Distrito Federal,11753,8853087,132.7559528
1995,Durango,1580,1451581,108.8468367
1995,Guanajuato,4736,4941687,95.83771696
