Periodo,Entidad de Residencia,Defunciones por Diabetes Tipo II,Poblacion Total,Tasa de Mortalidad por Diabetes Tipo II
1998,Aguascalientes,115,974940,11.79559768
1998,Baja California,302,2387650,12.64841999
1998,Baja California Sur,61,439911,13.86644117
1998,Campeche,85,673672,12.61741619
1998,Coahuila de Zaragoza,467,2315412,20.16919667
1998,Colima,87,538560,16.15418895
1998,Chiapas,286,3994325,7.160158475
1998,Chihuahua,330,2868346,11.50488818
1998,Distrito Federal,2071,8912913,23.23594991
1998,Durango,156,1482259,10.52447649
1998,Guanajuato,712,5074849,14.02997409
1998,Guerrero,308,3204303,9.612074763
1998,Hidalgo,260,2359558,11.01901288
1998,Jalisco,910,6401411,14.2156159
1998,México,2084,12424077,16.77388187
1998,Michoacán de Ocampo,529,4160121,12.71597629
1998,Morelos,276,1566306,17.62107787
1998,Nayarit,110,925239,11.88882008
1998,Nuevo León,482,3806709,12.66185569
1998,Oaxaca,347,3623477,9.576437218
1998,Puebla,671,5113198,13.12290273
1998,Querétaro de Arteaga,211,1495409,14.10985222
1998,Quintana Roo,53,862418,6.145511805
1998,San Luis Potosí,310,2367678,13.0929966
1998,Sinaloa,318,2481249,12.81612607
1998,Sonora,356,2203557,16.15569736
1998,Tabasco,252,1914591,13.16208005
1998,Tamaulipas,438,2671744,16.39378623
1998,Tlaxcala,151,973084,15.51767371
1998,Veracruz Llave,812,7173835,11.31891101
1998,Yucatán,293,1668680,17.55878898
1998,Zacatecas,146,1425943,10.23883844
1998,Nacional,13989,98485424,14.20413238
1999,Aguascalientes,214,991858,21.5756691
1999,Baja California,365,2469220,14.78199593
1999,Baja California Sur,75,453340,16.54387435
1999,Campeche,111,687422,16.14728653
1999,Coahuila de Zaragoza,499,2354430,21.19408944
1999,Colima,96,544150,17.64219425
1999,Chiapas,411,4083410,10.06511714
1999,Chihuahua,422,2926998,14.41750216
1999,Distrito Federal,2778,8928176,31.11497802
1999,Durango,191,1488305,12.83339101
1999,Guanajuato,836,5114053,16.34711255
1999,Guerrero,349,3215867,10.85243886
1999,Hidalgo,388,2374982,16.33696592
1999,Jalisco,1114,6452167,17.26551715
1999,México,2497,12678984,19.69400703
1999,Michoacán de Ocampo,659,4158671,15.84640862
1999,Morelos,321,1577729,20.34569942
1999,Nayarit,143,930087,15.37490579
1999,Nuevo León,627,3876894,16.17274034
1999,Oaxaca,442,3654932,12.09324825
1999,Puebla,889,5188507,17.13402333
1999,Querétaro de Arteaga,252,1527014,16.50279565
1999,Quintana Roo,68,900778,7.549029839
1999,San Luis Potosí,296,2378237,12.44619439
1999,Sinaloa,412,2508118,16.42665935
1999,Sonora,410,2247827,18.23983785
1999,Tabasco,290,1946169,14.90106974
1999,Tamaulipas,541,2729528,19.82027662
1999,Tlaxcala,184,993724,18.51620772
1999,Veracruz Llave,1222,7209103,16.95079124
1999,Yucatán,289,1695601,17.04410413
1999,Zacatecas,203,1419786,14.29792941
1999,Nacional,17594,99706067,17.64586703
2000,Aguascalientes,179,1008447,17.7500652
2000,Baja California,365,2549842,14.31461243
2000,Baja California Sur,72,466455,15.43557256
2000,Campeche,116,700708,16.55468469
2000,Coahuila de Zaragoza,571,2393756,23.85372611
2000,Colima,98,550291,17.80875937
2000,Chiapas,477,4164853,11.45298526
2000,Chihuahua,453,2987927,15.16101297
2000,Distrito Federal,2941,8944935,32.87894211
2000,Durango,212,1497613,14.15586003
2000,Guanajuato,922,5143766,17.9246101
2000,Guerrero,384,3226387,11.90185802
2000,Hidalgo,383,2390284,16.02320059
2000,Jalisco,1146,6513479,17.5942841
2000,México,2742,12933002,21.20157408
2000,Michoacán de Ocampo,815,4162262,19.58069915
2000,Morelos,309,1592066,19.4087431
2000,Nayarit,167,936661,17.82928936
2000,Nuevo León,591,3950061,14.96179426
2000,Oaxaca,461,3671421,12.55644613
2000,Puebla,1039,5250025,19.79038195
2000,Querétaro de Arteaga,260,1554518,16.72544158
2000,Quintana Roo,72,938812,7.669267116
2000,San Luis Potosí,402,2390310,16.81790228
2000,Sinaloa,406,2537959,15.99710634
2000,Sonora,382,2289991,16.68128827
2000,Tabasco,300,1975910,15.18287776
2000,Tamaulipas,626,2790660,22.4319695
2000,Tlaxcala,244,1011736,24.11696332
2000,Veracruz Llave,1354,7232656,18.72064702
2000,Yucatán,269,1721303,15.627696
2000,Zacatecas,216,1417715,15.23578434
2000,Nacional,18974,100895811,18.80553792
2001,Aguascalientes,212,1025563,20.67157259
2001,Baja California,361,2627368,13.73998618
2001,Baja California Sur,96,480190,19.99208647
2001,Campeche,121,714008,16.94658883
2001,Coahuila de Zaragoza,626,2433242,25.72699304
2001,Colima,130,557968,23.29882717
2001,Chiapas,466,4239830,10.99100671
2001,Chihuahua,561,3048688,18.40135822
2001,Distrito Federal,3238,8961129,36.13383983
2001,Durango,237,1511810,15.67657311
2001,Guanajuato,1044,5170538,20.19132245
2001,Guerrero,447,3240532,13.79403135
2001,Hidalgo,494,2408458,20.51104898
2001,Jalisco,1172,6592401,17.77804475
2001,México,3118,13195345,23.62954512
2001,Michoacán de Ocampo,894,4176873,21.40357152
2001,Morelos,374,1611070,23.21438547
2001,Nayarit,138,946927,14.57345709
2001,Nuevo León,635,4026904,15.76893812
2001,Oaxaca,618,3677835,16.80336394
2001,Puebla,1302,5301444,24.55934647
2001,Querétaro de Arteaga,239,1579076,15.13543363
2001,Quintana Roo,106,976468,10.85545046
2001,San Luis Potosí,436,2407204,18.11229958
2001,Sinaloa,474,2571178,18.43512973
2001,Sonora,399,2330502,17.12077484
2001,Tabasco,407,2004482,20.30449762
2001,Tamaulipas,694,2852000,24.33380084
2001,Tlaxcala,260,1027495,25.30425939
2001,Veracruz Llave,1621,7257778,22.33465945
2001,Yucatán,324,1746077,18.5558827
2001,Zacatecas,233,1421912,16.38638678
2001,Nacional,21477,102122295,21.0306672
2002,Aguascalientes,272,1043783,26.05905634
2002,Baja California,342,2702832,12.65339466
2002,Baja California Sur,83,495522,16.75001312
2002,Campeche,198,727546,27.21477405
2002,Coahuila de Zaragoza,658,2472921,26.60820948
2002,Colima,139,566389,24.54143707
2002,Chiapas,619,4318948,14.33219386
2002,Chihuahua,627,3107892,20.17444622
2002,Distrito Federal,3418,8973544,38.0897447
2002,Durango,290,1525797,19.00646023
2002,Guanajuato,1198,5208629,23.00029432
2002,Guerrero,531,3258145,16.2976172
2002,Hidalgo,506,2431444,20.81067876
2002,Jalisco,1513,6671656,22.67802776
2002,México,3561,13459745,26.45666764
2002,Michoacán de Ocampo,1019,4193971,24.29678221
2002,Morelos,434,1629599,26.63231875
2002,Nayarit,194,958314,20.24388666
2002,Nuevo León,734,4103482,17.88724795
2002,Oaxaca,692,3696385,18.72099362
2002,Puebla,1482,5364489,27.62611686
2002,Querétaro de Arteaga,267,1607589,16.60872275
2002,Quintana Roo,110,1015299,10.83424686
2002,San Luis Potosí,494,2425828,20.36418081
2002,Sinaloa,507,2602506,19.4812231
2002,Sonora,438,2373321,18.45515208
2002,Tabasco,494,2033695,24.2907614
2002,Tamaulipas,772,2911087,26.51930361
2002,Tlaxcala,283,1045455,27.06955345
2002,Veracruz Llave,1832,7294006,25.11651348
2002,Yucatán,453,1771733,25.56818663
2002,Zacatecas,275,1426392,19.27941267
2002,Nacional,24435,103417944,23.62742775
2003,Aguascalientes,262,1062250,24.66462697
2003,Baja California,416,2775926,14.98599026
2003,Baja California Sur,104,511831,20.31920693
2003,Campeche,176,741113,23.74806541
2003,Coahuila de Zaragoza,803,2512261,31.96323949
2003,Colima,146,575411,25.37316805
2003,Chiapas,664,4397267,15.10028843
