Periodo,Entidad federativa,Tasa de mortalidad en niños menores de 5 años,Defunciones en la población menor de 5 años de edad,Nacidos vivos
1990,Nacional,41.01526653,99668,2430022
1990,Aguascalientes,33.33205624,870,26101
1990,Baja California,43.3995585,1966,45300
1990,Baja California Sur,29.06253534,257,8843
1990,Campeche,34.03697227,545,16012
1990,Coahuila de Zaragoza,33.59406871,1894,56379
1990,Colima,33.84779951,443,13088
1990,Chiapas,62.03547629,7103,114499
1990,Chihuahua,46.14225832,2818,61072
1990,Distrito Federal,26.20579987,4878,186142
1990,Durango,36.36767099,1475,40558
1990,Guanajuato,44.12644231,6050,137106
1990,Guerrero,49.56930387,4736,95543
1990,Hidalgo,44.33040781,2773,62553
1990,Jalisco,34.10491545,5534,162264
1990,México,42.97549544,12543,291864
1990,Michoacán de Ocampo,39.76410085,4531,113947
1990,Morelos,32.30835394,1202,37204
1990,Nayarit,33.54325785,751,22389
1990,Nuevo León,27.45186522,2190,79776
1990,Oaxaca,59.55033421,5880,98740
1990,Puebla,52.72479858,7323,138891
1990,Querétaro,39.31663337,1535,39042
1990,Quintana Roo,33.27515343,591,17761
1990,San Luis Potosí,41.56494721,2622,63082
1990,Sinaloa,28.19073158,1682,59665
1990,Sonora,35.62997639,1781,49986
1990,Tabasco,36.86156922,1844,50025
1990,Tamaulipas,34.0483954,1984,58270
1990,Tlaxcala,48.27012246,1218,25233
1990,Veracruz de Ignacio de la Llave,44.26428315,7884,178112
1990,Yucatán,29.24774419,1222,41781
1990,Zacatecas,39.77419189,1543,38794
1991,Nacional,38.67109335,94406,2441255
1991,Aguascalientes,31.40727286,830,26427
1991,Baja California,40.43905257,1890,46737
1991,Baja California Sur,27.23735409,245,8995
1991,Campeche,32.08982697,523,16298
1991,Coahuila de Zaragoza,30.68293712,1745,56872
1991,Colima,31.75814948,416,13099
1991,Chiapas,57.95978792,6734,116184
1991,Chihuahua,42.10969917,2598,61696
1991,Distrito Federal,25.18824294,4613,183141
1991,Durango,34.1213806,1387,40649
1991,Guanajuato,41.05456166,5620,136891
1991,Guerrero,47.27340406,4572,96714
1991,Hidalgo,42.14755647,2633,62471
1991,Jalisco,32.23261719,5230,162258
1991,México,40.34792406,11889,294662
1991,Michoacán de Ocampo,37.68519089,4281,113599
1991,Morelos,30.62420111,1150,37552
1991,Nayarit,31.89970554,715,22414
1991,Nuevo León,25.52687368,2047,80190
1991,Oaxaca,55.72839308,5553,99644
1991,Puebla,49.99213735,6994,139902
1991,Querétaro,37.32349574,1467,39305
1991,Quintana Roo,31.64066822,572,18078
1991,San Luis Potosí,39.14320917,2478,63306
1991,Sinaloa,26.82655047,1613,60127
1991,Sonora,33.42839037,1688,50496
1991,Tabasco,35.10065776,1761,50170
1991,Tamaulipas,31.64664938,1855,58616
1991,Tlaxcala,46.06992897,1174,25483
1991,Veracruz de Ignacio de la Llave,42.01784066,7513,178805
1991,Yucatán,28.14312654,1179,41893
1991,Zacatecas,37.34999093,1441,38581
1992,Nacional,36.57379291,89490,2446834
1992,Aguascalientes,29.60797541,790,26682
1992,Baja California,37.73270584,1812,48022
1992,Baja California Sur,26.02108037,237,9108
1992,Campeche,30.36560185,500,16466
1992,Coahuila de Zaragoza,28.26219778,1619,57285
1992,Colima,29.70903522,388,13060
1992,Chiapas,54.32421424,6402,117848
1992,Chihuahua,38.6982724,2408,62225
1992,Distrito Federal,24.25027665,4361,179833
1992,Durango,32.13326434,1304,40581
1992,Guanajuato,38.33327252,5253,137035
1992,Guerrero,45.18825867,4389,97127
1992,Hidalgo,40.13544308,2501,62314
1992,Jalisco,30.52114547,4940,161855
1992,México,38.06511866,11290,296597
1992,Michoacán de Ocampo,35.83616235,4043,112819
1992,Morelos,29.18117309,1098,37627
1992,Nayarit,30.33149913,678,22353
1992,Nuevo León,23.85769789,1922,80561
1992,Oaxaca,52.48886888,5246,99945
1992,Puebla,47.43015689,6684,140923
1992,Querétaro,35.3224376,1394,39465
1992,Quintana Roo,30.24512748,554,18317
1992,San Luis Potosí,36.94643477,2341,63362
1992,Sinaloa,25.54261514,1544,60448
1992,Sonora,31.35375125,1596,50903
1992,Tabasco,33.44548187,1680,50231
1992,Tamaulipas,29.67268278,1746,58842
1992,Tlaxcala,43.98382204,1131,25714
1992,Veracruz de Ignacio de la Llave,39.91682137,7160,179373
1992,Yucatán,27.20157495,1133,41652
1992,Zacatecas,35.17942552,1346,38261
1993,Nacional,34.66324019,84950,2450723
1993,Aguascalientes,27.96266686,752,26893
1993,Baja California,35.30601922,1745,49425
1993,Baja California Sur,24.6980742,227,9191
1993,Campeche,28.91712039,478,16530
1993,Coahuila de Zaragoza,26.22893868,1510,57570
1993,Colima,27.89550744,362,12977
1993,Chiapas,50.93346019,6103,119823
1993,Chihuahua,35.90624304,2258,62886
1993,Distrito Federal,23.38157022,4125,176421
1993,Durango,30.37868301,1229,40456
1993,Guanajuato,35.95464654,4931,137145
1993,Guerrero,43.16214775,4209,97516
1993,Hidalgo,38.22395691,2370,62003
1993,Jalisco,28.93736962,4661,161072
1993,México,36.04052594,10775,298969
1993,Michoacán de Ocampo,34.10596026,3811,111740
1993,Morelos,27.9053621,1045,37448
1993,Nayarit,28.8993923,642,22215
