Periodo,Entidad de Residencia,Defunciones por Neoplasias Malignas,Poblacion Total,Tasa de Mortalidad por Neoplasias Malignas
1990,Aguascalientes,378,824227,45.86115233
1990,Baja California,987,1732550,56.96805287
1990,Baja California Sur,174,339387,51.26890541
1990,Campeche,217,553106,39.23298608
1990,Coahuila de Zaragoza,1247,2005016,62.1940174
1990,Colima,243,473115,51.36171967
1990,Chiapas,1078,3314875,32.52007994
1990,Chihuahua,1573,2408000,65.32392027
1990,Distrito Federal,5287,8695562,60.80113051
1990,Durango,695,1389199,50.02882956
1990,Guanajuato,1751,4657092,37.59857009
1990,Guerrero,711,3021955,23.5278156
1990,Hidalgo,815,2207154,36.92537992
1990,Jalisco,3329,5765386,57.74114691
1990,México,3575,10083763,35.45303475
1990,Michoacán de Ocampo,1818,3978777,45.69243262
1990,Morelos,625,1397700,44.71631967
1990,Nayarit,471,851666,55.3033701
1990,Nuevo León,1901,3236128,58.74304107
1990,Oaxaca,1154,3361672,34.32815575
1990,Puebla,1735,4494848,38.59974798
1990,Querétaro de Arteaga,415,1245271,33.32607922
1990,Quintana Roo,124,574852,21.57076952
1990,San Luis Potosí,990,2202098,44.95712725
1990,Sinaloa,1341,2215227,60.53555685
1990,Sonora,1226,1858664,65.96135719
1990,Tabasco,598,1637553,36.51790202
1990,Tamaulipas,1482,2252956,65.78024604
1990,Tlaxcala,287,817427,35.11016886
1990,Veracruz Llave,3126,6615976,47.24926451
1990,Yucatán,886,1444723,61.32663493
1990,Zacatecas,725,1408922,51.4577812
1990,Nacional,40964,87064847,47.04998792
1991,Aguascalientes,369,844162,43.71198893
1991,Baja California,1060,1815903,58.373162
1991,Baja California Sur,177,351246,50.39203293
1991,Campeche,235,568384,41.34528769
1991,Coahuila de Zaragoza,1222,2042564,59.82676675
1991,Colima,247,483048,51.13363475
1991,Chiapas,1128,3395180,33.22356988
1991,Chihuahua,1583,2465322,64.21067917
1991,Distrito Federal,5393,8738833,61.71304567
1991,Durango,721,1402493,51.40845623
1991,Guanajuato,1804,4718814,38.22994507
1991,Guerrero,748,3049039,24.53231986
1991,Hidalgo,784,2227905,35.19001035
1991,Jalisco,3376,5861907,57.59217947
1991,México,3790,10403594,36.42971842
1991,Michoacán de Ocampo,1968,4015276,49.01282004
1991,Morelos,655,1423487,46.0137676
1991,Nayarit,525,862823,60.84677854
1991,Nuevo León,2036,3308191,61.54420951
1991,Oaxaca,1279,3396857,37.65245343
1991,Puebla,1762,4575107,38.51276047
1991,Querétaro de Arteaga,408,1277558,31.93592776
1991,Quintana Roo,115,610571,18.83482838
1991,San Luis Potosí,967,2227649,43.40899307
1991,Sinaloa,1248,2251748,55.42360868
1991,Sonora,1255,1901710,65.99323767
1991,Tabasco,614,1675650,36.64249694
1991,Tamaulipas,1372,2300861,59.62985161
1991,Tlaxcala,289,836761,34.53793855
1991,Veracruz Llave,3055,6709491,45.53251506
1991,Yucatán,873,1474038,59.22506747
1991,Zacatecas,699,1414769,49.40735908
1991,Nacional,41757,88630941,47.11334386
1992,Aguascalientes,369,863697,42.72331616
1992,Baja California,1018,1895648,53.70195311
1992,Baja California Sur,224,363307,61.65584478
1992,Campeche,277,583930,47.43719281
1992,Coahuila de Zaragoza,1298,2080707,62.38264205
1992,Colima,280,492181,56.88964019
1992,Chiapas,1239,3476913,35.63505903
1992,Chihuahua,1525,2521954,60.46898556
1992,Distrito Federal,5524,8772275,62.97112209
1992,Durango,642,1415393,45.35842695
1992,Guanajuato,1895,4777030,39.66899936
1992,Guerrero,835,3075833,27.14711755
1992,Hidalgo,807,2248684,35.88765696
1992,Jalisco,3667,5951246,61.6173487
1992,México,3886,10706626,36.29528107
1992,Michoacán de Ocampo,2046,4047191,50.55358148
1992,Morelos,719,1448069,49.6523301
1992,Nayarit,481,873510,55.06519674
1992,Nuevo León,1961,3378692,58.04021201
1992,Oaxaca,1321,3433323,38.47584396
1992,Puebla,1779,4654771,38.21885115
1992,Querétaro de Arteaga,422,1309252,32.23214477
1992,Quintana Roo,153,645180,23.71431228
1992,San Luis Potosí,1083,2251877,48.09321291
1992,Sinaloa,1345,2286742,58.81730427
1992,Sonora,1314,1944455,67.57677601
1992,Tabasco,628,1711673,36.68925081
1992,Tamaulipas,1455,2350664,61.89740431
1992,Tlaxcala,292,856069,34.10940006
1992,Veracruz Llave,3335,6793533,49.09080445
1992,Yucatán,882,1502887,58.687047
1992,Zacatecas,706,1419273,49.74377727
1992,Nacional,43408,90132585,48.16016316
1993,Aguascalientes,387,882995,43.82810775
1993,Baja California,1090,1976271,55.15437913
1993,Baja California Sur,227,375535,60.44709548
1993,Campeche,247,599335,41.21234368
1993,Coahuila de Zaragoza,1243,2119320,58.65088802
1993,Colima,289,500880,57.69845073
1993,Chiapas,1375,3559521,38.62879303
1993,Chihuahua,1602,2578946,62.11840031
1993,Distrito Federal,5528,8801777,62.80549939
1993,Durango,657,1427650,46.0196827
1993,Guanajuato,1921,4833834,39.740711
1993,Guerrero,847,3100542,27.31780444
1993,Hidalgo,887,2268750,39.09641873
1993,Jalisco,3593,6036556,59.52069359
1993,México,4129,11004587,37.5207175
1993,Michoacán de Ocampo,1998,4075275,49.02736625
1993,Morelos,684,1471328,46.48861437
1993,Nayarit,509,883537,57.60935875
1993,Nuevo León,2061,3448999,59.75646847
1993,Oaxaca,1420,3468037,40.94535324
1993,Puebla,2001,4734278,42.2662125
1993,Querétaro de Arteaga,434,1340778,32.3692662
1993,Quintana Roo,138,680236,20.28707684
1993,San Luis Potosí,1109,2274743,48.7527602
1993,Sinaloa,1404,2320874,60.49445166
1993,Sonora,1342,1987353,67.52700703
1993,Tabasco,736,1746827,42.13353698
1993,Tamaulipas,1455,2401107,60.59704961
1993,Tlaxcala,357,875468,40.77818949
1993,Veracruz Llave,3446,6871335,50.15037107
1993,Yucatán,848,1531251,55.37955567
1993,Zacatecas,719,1422730,50.53664434
1993,Nacional,44683,91600655,48.78021888
1994,Aguascalientes,454,902128,50.32545271
1994,Baja California,1129,2058198,54.85380901
1994,Baja California Sur,194,387994,50.00077321
1994,Campeche,325,614694,52.87183542
1994,Coahuila de Zaragoza,1280,2158403,59.30310512
1994,Colima,286,509258,56.16013887
1994,Chiapas,1349,3644811,37.01152131
1994,Chihuahua,1635,2636937,62.00375663
1994,Distrito Federal,5484,8828375,62.11788693
1994,Durango,685,1439646,47.58114148
1994,Guanajuato,1968,4889078,40.2529884
1994,Guerrero,1008,3124968,32.2563303
1994,Hidalgo,926,2288570,40.46194785
1994,Jalisco,3819,6118571,62.41653484
1994,México,4294,11300207,37.99930391
1994,Michoacán de Ocampo,1988,4100535,48.48147864
1994,Morelos,693,1493515,46.40060528
1994,Nayarit,551,893093,61.69570246
1994,Nuevo León,2074,3519985,58.92070563
1994,Oaxaca,1424,3501881,40.66386037
1994,Puebla,2045,4815366,42.46821529
1994,Querétaro de Arteaga,468,1372231,34.105045
1994,Quintana Roo,161,715788,22.49269337
1994,San Luis Potosí,1127,2296679,49.07085405
1994,Sinaloa,1505,2354573,63.91817115
1994,Sonora,1398,2030370,68.85444525
1994,Tabasco,726,1781609,40.74968189
1994,Tamaulipas,1566,2452645,63.84943602
1994,Tlaxcala,339,895027,37.87595235
1994,Veracruz Llave,3530,6945101,50.82719459
1994,Yucatán,937,1559473,60.08440031
1994,Zacatecas,724,1425591,50.78595474
1994,Nacional,46092,93055300,49.53183752
1995,Aguascalientes,406,921048,44.08022166
1995,Baja California,1211,2141231,56.55625199
1995,Baja California Sur,234,400667,58.40261364
1995,Campeche,292,629897,46.35678532
1995,Coahuila de Zaragoza,1330,2197744,60.51660248
1995,Colima,291,517359,56.24720938
1995,Chiapas,1497,3732019,40.11233598
1995,Chihuahua,1769,2695309,65.632549
1995,Distrito Federal,5747,8853087,64.9152098
1995,Durango,694,1451581,47.80993965
1995,Guanajuato,2094,4941687,42.37419327
1995,Guerrero,1011,3148736,32.10812212
1995,Hidalgo,921,2308109,39.90279489
1995,Jalisco,3899,6197229,62.91521582
1995,México,4361,11591879,37.62116565
1995,Michoacán de Ocampo,2224,4123078,53.94028442
1995,Morelos,756,1514605,49.91400398
1995,Nayarit,610,902312,67.60411033
1995,Nuevo León,2186,3591906,60.85905366
1995,Oaxaca,1487,3535280,42.06173203
1995,Puebla,2100,4895089,42.9001393
1995,Querétaro de Arteaga,531,1403630,37.83048239
1995,Quintana Roo,167,751792,22.21359099
1995,San Luis Potosí,1103,2317524,47.59389763
1995,Sinaloa,1475,2387913,61.76941957
1995,Sonora,1389,2073741,66.98039919
1995,Tabasco,712,1816022,39.20657349
1995,Tamaulipas,1545,2505876,61.65508589
1995,Tlaxcala,365,914661,39.90549504
1995,Veracruz Llave,3817,7013920,54.42035267
1995,Yucatán,915,1587453,57.63950177
1995,Zacatecas,726,1427952,50.84204511
1995,Nacional,47865,94490336,50.65597396
1996,Aguascalientes,471,939507,50.13267597
1996,Baja California,1184,2224286,53.23056477
1996,Baja California Sur,216,413575,52.22752826
1996,Campeche,310,644818,48.07558102
1996,Coahuila de Zaragoza,1378,2237025,61.5996692
1996,Colima,289,524947,55.0531768
1996,Chiapas,1476,3819739,38.64138361
1996,Chihuahua,1760,2753282,63.92370996
