Periodo,Entidad de Ocurrencia,Defunciones por Suicidio,Poblacion Total Adolescente,Tasa de Mortalidad por Suicidio
1990,Aguascalientes,6,355305,1.688689999
1990,Baja California,18,763389,2.35790665
1990,Baja California Sur,4,147342,2.714772434
1990,Campeche,21,222944,9.41940577
1990,Coahuila de Zaragoza,26,862446,3.014681499
1990,Colima,7,195337,3.583550479
1990,Chiapas,15,1322249,1.134430807
1990,Chihuahua,40,1042097,3.838414274
1990,Distrito Federal,119,3687359,3.227242045
1990,Durango,13,596094,2.180864092
1990,Guanajuato,40,2016582,1.983554351
1990,Guerrero,7,1230170,0.569027045
1990,Hidalgo,8,932600,0.857816856
1990,Jalisco,70,2407716,2.907319634
1990,México,57,4384999,1.299886271
1990,Michoacán de Ocampo,37,1655642,2.23478264
1990,Morelos,8,578795,1.382181947
1990,Nayarit,7,347506,2.014353709
1990,Nuevo León,27,1407170,1.918744715
1990,Oaxaca,15,1319486,1.136806302
1990,Puebla,20,1843494,1.084896398
1990,Querétaro de Arteaga,11,532168,2.067016431
1990,Quintana Roo,18,252878,7.118056929
1990,San Luis Potosí,27,909452,2.968820784
1990,Sinaloa,20,942306,2.122452791
1990,Sonora,30,779730,3.847485668
1990,Tabasco,67,687257,9.748900339
1990,Tamaulipas,34,956188,3.555786101
1990,Tlaxcala,7,334763,2.091031566
1990,Veracruz Llave,65,2714011,2.394979239
1990,Yucatán,31,566407,5.473096201
1990,Zacatecas,14,603962,2.318026631
1990,Nacional,889,36597844,2.42910484
1991,Aguascalientes,3,362804,0.826892758
1991,Baja California,30,798923,3.755055243
1991,Baja California Sur,10,152706,6.548531164
1991,Campeche,25,229449,10.89566745
1991,Coahuila de Zaragoza,25,875775,2.854614484
1991,Colima,13,198996,6.532794629
1991,Chiapas,13,1359902,0.955951238
1991,Chihuahua,70,1063953,6.579237993
1991,Distrito Federal,142,3677274,3.861556142
1991,Durango,9,600174,1.499565126
1991,Guanajuato,34,2044052,1.663362772
1991,Guerrero,18,1238614,1.453237247
1991,Hidalgo,9,938935,0.958532806
1991,Jalisco,89,2445299,3.639636707
1991,México,35,4511403,0.77581187
1991,Michoacán de Ocampo,37,1670018,2.215544982
1991,Morelos,18,587108,3.065875444
1991,Nayarit,9,352135,2.55583796
1991,Nuevo León,29,1436560,2.018711366
1991,Oaxaca,21,1334846,1.573215187
1991,Puebla,28,1877660,1.491217792
1991,Querétaro de Arteaga,11,546116,2.014224084
1991,Quintana Roo,9,270345,3.32907951
1991,San Luis Potosí,28,918319,3.049049404
1991,Sinaloa,22,955622,2.302165501
1991,Sonora,43,794433,5.412665385
1991,Tabasco,86,704585,12.20576652
1991,Tamaulipas,39,974601,4.001637593
1991,Tlaxcala,4,343068,1.165949608
1991,Veracruz Llave,59,2747784,2.147184786
1991,Yucatán,20,578134,3.459405605
1991,Zacatecas,21,606223,3.464071802
1991,Nacional,1009,37195816,2.712670694
1992,Aguascalientes,11,369014,2.980916713
1992,Baja California,26,829840,3.133134098
1992,Baja California Sur,6,157667,3.805488783
1992,Campeche,24,235533,10.18965495
1992,Coahuila de Zaragoza,22,886078,2.482851397
1992,Colima,11,202053,5.444116148
1992,Chiapas,22,1395983,1.575950423
1992,Chihuahua,54,1081788,4.991735904
1992,Distrito Federal,141,3658675,3.853854196
1992,Durango,13,602237,2.158618617
1992,Guanajuato,39,2063683,1.889825133
1992,Guerrero,23,1243523,1.849583803
1992,Hidalgo,11,942714,1.166843815
1992,Jalisco,84,2475110,3.393788559
1992,México,42,4615968,0.909884991
1992,Michoacán de Ocampo,58,1678689,3.455077147
1992,Morelos,17,593221,2.865711092
1992,Nayarit,10,355632,2.811895442
1992,Nuevo León,29,1459874,1.986472805
1992,Oaxaca,34,1347738,2.522745519
1992,Puebla,29,1907317,1.520460416
1992,Querétaro de Arteaga,9,558664,1.61098621
1992,Quintana Roo,10,286921,3.48527992
1992,San Luis Potosí,36,923707,3.897339741
1992,Sinaloa,30,965288,3.107880757
1992,Sonora,38,807292,4.707094831
1992,Tabasco,58,719871,8.056999101
1992,Tamaulipas,48,990780,4.844667837
1992,Tlaxcala,6,350623,1.711239708
1992,Veracruz Llave,66,2767086,2.385180656
1992,Yucatán,30,589307,5.090725208
1992,Zacatecas,17,605736,2.806503163
1992,Nacional,1054,37667612,2.798159862
1993,Aguascalientes,8,374686,2.135121141
1993,Baja California,28,859312,3.25842069
1993,Baja California Sur,8,162521,4.922440792
1993,Campeche,20,241466,8.282739599
1993,Coahuila de Zaragoza,27,895311,3.015711859
1993,Colima,3,204848,1.464500508
1993,Chiapas,29,1431620,2.025677205
1993,Chihuahua,40,1097986,3.6430337
1993,Distrito Federal,125,3637008,3.436890983
1993,Durango,12,603368,1.988836001
1993,Guanajuato,54,2079255,2.597084052
1993,Guerrero,26,1246796,2.085345157
1993,Hidalgo,11,945281,1.16367514
1993,Jalisco,98,2501052,3.918351158
1993,México,45,4711807,0.955047607
1993,Michoacán de Ocampo,50,1684409,2.968400193
1993,Morelos,9,598265,1.504350079
1993,Nayarit,6,358562,1.673350773
1993,Nuevo León,44,1480715,2.971537399
1993,Oaxaca,36,1359266,2.648488228
1993,Puebla,28,1934863,1.447130882
1993,Querétaro de Arteaga,10,570658,1.752363062
1993,Quintana Roo,6,303560,1.976544999
1993,San Luis Potosí,24,927523,2.587536913
1993,Sinaloa,30,973440,3.081854043
1993,Sonora,37,819394,4.51553221
1993,Tabasco,74,734306,10.0775426
1993,Tamaulipas,35,1006077,3.478858974
1993,Tlaxcala,2,357933,0.558763791
1993,Veracruz Llave,81,2780203,2.91345632
1993,Yucatán,34,600283,5.663995149
1993,Zacatecas,16,603986,2.649068025
1993,Nacional,1056,38085760,2.772689845
1994,Aguascalientes,6,379962,1.579105279
1994,Baja California,36,887268,4.057398666
1994,Baja California Sur,2,167189,1.19625095
1994,Campeche,21,247291,8.492019524
1994,Coahuila de Zaragoza,33,903769,3.651375517
1994,Colima,12,207411,5.785614071
1994,Chiapas,30,1466939,2.045074812
1994,Chihuahua,63,1112567,5.662580321
1994,Distrito Federal,164,3612879,4.539316152
1994,Durango,13,603746,2.153223375
1994,Guanajuato,75,2091222,3.586419806
1994,Guerrero,30,1249014,2.401894614
1994,Hidalgo,14,946807,1.478654045
1994,Jalisco,108,2523496,4.279776944
1994,México,57,4798494,1.187872695
1994,Michoacán de Ocampo,56,1687733,3.31806038
1994,Morelos,11,602397,1.82603831
1994,Nayarit,10,361009,2.770014044
1994,Nuevo León,45,1499282,3.001436688
1994,Oaxaca,24,1369725,1.752176532
1994,Puebla,24,1960693,1.224057004
1994,Querétaro de Arteaga,9,582128,1.546051727
1994,Quintana Roo,16,320150,4.997657348
1994,San Luis Potosí,54,930027,5.806283043
1994,Sinaloa,26,980292,2.652270956
1994,Sonora,38,830913,4.573282642
1994,Tabasco,71,747792,9.494618824
1994,Tamaulipas,34,1020646,3.331223558
1994,Tlaxcala,4,364997,1.095899418
1994,Veracruz Llave,62,2788032,2.223790832
1994,Yucatán,30,611197,4.908401056
1994,Zacatecas,24,601209,3.991956208
1994,Nacional,1202,38456276,3.125627661
1995,Aguascalientes,10,384815,2.5986513
1995,Baja California,44,913891,4.814578544
1995,Baja California Sur,12,171694,6.989178422
1995,Campeche,22,252960,8.697027198
1995,Coahuila de Zaragoza,17,911462,1.865135354
1995,Colima,12,209753,5.721014717
1995,Chiapas,39,1502152,2.59627521
1995,Chihuahua,89,1125528,7.907399905
1995,Distrito Federal,190,3586599,5.297497713
1995,Durango,24,603530,3.976604311
1995,Guanajuato,68,2101032,3.236504727
1995,Guerrero,24,1250431,1.919338212
1995,Hidalgo,24,947347,2.533390616
1995,Jalisco,109,2542640,4.286882925
1995,México,81,4876111,1.661159887
1995,Michoacán de Ocampo,61,1688876,3.61186967
1995,Morelos,24,605557,3.963293299
1995,Nayarit,13,362970,3.581563215
1995,Nuevo León,43,1515608,2.837145225
1995,Oaxaca,33,1379301,2.392516209
1995,Puebla,44,1984867,2.216773215
1995,Querétaro de Arteaga,24,593035,4.046978677
1995,Quintana Roo,18,336554,5.348324489
1995,San Luis Potosí,27,931430,2.89876856
1995,Sinaloa,43,986058,4.360798249
1995,Sonora,44,841704,5.227490899
1995,Tabasco,69,760248,9.075985731
1995,Tamaulipas,54,1034401,5.220412587
1995,Tlaxcala,9,371785,2.42075393
1995,Veracruz Llave,83,2791233,2.973596257
1995,Yucatán,33,622037,5.305150658
1995,Zacatecas,25,597500,4.184100418
1995,Nacional,1412,38783109,3.640760208
1996,Aguascalientes,9,389119,2.312917128
1996,Baja California,34,939130,3.620372046
1996,Baja California Sur,16,176059,9.087862592
1996,Campeche,18,258399,6.965971231
1996,Coahuila de Zaragoza,36,917712,3.92279931
1996,Colima,9,211748,4.250335304
1996,Chiapas,28,1537033,1.821691532
1996,Chihuahua,90,1137002,7.915553359
1996,Distrito Federal,208,3557401,5.846965242
1996,Durango,24,602446,3.98375954
1996,Guanajuato,73,2108727,3.461804207
1996,Guerrero,31,1249836,2.480325419
1996,Hidalgo,25,946729,2.640671195
1996,Jalisco,137,2557446,5.356906852
1996,México,88,4946600,1.778999717
1996,Michoacán de Ocampo,86,1686889,5.098142201
1996,Morelos,22,607625,3.620654186
