Periodo,Entidad federativa,Tasa de mortalidad por VIH/SIDA (por 100 mil habitantes),Defunciones por VIH/SIDA,Población total
1990,Nacional,1.714813787,1493,87064847
1990,Aguascalientes,0.2426516,2,824227
1990,Baja California,2.424172463,42,1732550
1990,Baja California Sur,0.589297763,2,339387
1990,Campeche,0.723188684,4,553106
1990,Coahuila de Zaragoza,0.897748447,18,2005016
1990,Colima,1.690920812,8,473115
1990,Chiapas,0.21116935,7,3314875
1990,Chihuahua,0.747508306,18,2408000
1990,Distrito Federal,5.750059628,500,8695562
1990,Durango,0.431903565,6,1389199
1990,Guanajuato,0.536815678,25,4657092
1990,Guerrero,0.959643674,29,3021955
1990,Hidalgo,0.453072146,10,2207154
1990,Jalisco,3.27818467,189,5765386
1990,México,2.657737989,268,10083763
1990,Michoacán de Ocampo,0.754000538,30,3978777
1990,Morelos,2.790298347,39,1397700
1990,Nayarit,0.939335373,8,851666
1990,Nuevo León,1.606858567,52,3236128
1990,Oaxaca,0.386712326,13,3361672
1990,Puebla,1.802063162,81,4494848
1990,Querétaro,0.401519027,5,1245271
1990,Quintana Roo,0.869789094,5,574852
1990,San Luis Potosí,0.499523636,11,2202098
1990,Sinaloa,0.496563106,11,2215227
1990,Sonora,0.807031287,15,1858664
1990,Tabasco,0.244266903,4,1637553
1990,Tamaulipas,0.798950357,18,2252956
1990,Tlaxcala,0.734010499,6,817427
1990,Veracruz de Ignacio de la Llave,0.680171754,45,6615976
1990,Yucatán,1.315130997,19,1444723
1990,Zacatecas,0.21292875,3,1408922
1991,Nacional,2.265574502,2008,88630941
1991,Aguascalientes,1.066146071,9,844162
1991,Baja California,4.846073827,88,1815903
1991,Baja California Sur,2.562306759,9,351246
1991,Campeche,0.703749578,4,568384
1991,Coahuila de Zaragoza,1.272909931,26,2042564
1991,Colima,1.449131349,7,483048
1991,Chiapas,0.206174636,7,3395180
1991,Chihuahua,1.135754275,28,2465322
1991,Distrito Federal,7.518166327,657,8738833
1991,Durango,0.713016036,10,1402493
1991,Guanajuato,0.466218842,22,4718814
1991,Guerrero,1.639860953,50,3049039
1991,Hidalgo,0.403966956,9,2227905
1991,Jalisco,3.88951923,228,5861907
1991,México,3.498790899,364,10403594
1991,Michoacán de Ocampo,0.821861312,33,4015276
1991,Morelos,3.442251317,49,1423487
1991,Nayarit,3.013364271,26,862823
1991,Nuevo León,1.783452044,59,3308191
1991,Oaxaca,0.647657526,22,3396857
1991,Puebla,1.945309694,89,4575107
1991,Querétaro,0.469645997,6,1277558
1991,Quintana Roo,0.655124465,4,610571
1991,San Luis Potosí,0.808026758,18,2227649
1991,Sinaloa,1.421118171,32,2251748
1991,Sonora,0.946516556,18,1901710
1991,Tabasco,0.238713335,4,1675650
1991,Tamaulipas,0.825777828,19,2300861
1991,Tlaxcala,1.434101255,12,836761
1991,Veracruz de Ignacio de la Llave,0.938968396,63,6709491
1991,Yucatán,1.96738483,29,1474038
1991,Zacatecas,0.49478042,7,1414769
1992,Nacional,2.805866491,2529,90132585
1992,Aguascalientes,1.273594791,11,863697
1992,Baja California,2.848630125,54,1895648
1992,Baja California Sur,1.100997228,4,363307
1992,Campeche,1.712534037,10,583930
1992,Coahuila de Zaragoza,1.874362897,39,2080707
1992,Colima,2.84448201,14,492181
1992,Chiapas,0.373894889,13,3476913
1992,Chihuahua,2.022241484,51,2521954
1992,Distrito Federal,8.629460431,757,8772275
1992,Durango,1.271731597,18,1415393
1992,Guanajuato,1.004808427,48,4777030
1992,Guerrero,1.625575901,50,3075833
1992,Hidalgo,1.067290913,24,2248684
1992,Jalisco,4.889732335,291,5951246
1992,México,3.651944133,391,10706626
1992,Michoacán de Ocampo,1.507218216,61,4047191
1992,Morelos,2.693241828,39,1448069
1992,Nayarit,3.663381072,32,873510
1992,Nuevo León,2.486169204,84,3378692
1992,Oaxaca,0.757283833,26,3433323
1992,Puebla,3.093600093,144,4654771
1992,Querétaro,0.91655388,12,1309252
1992,Quintana Roo,2.634923587,17,645180
1992,San Luis Potosí,1.376629363,31,2251877
1992,Sinaloa,1.443101146,33,2286742
1992,Sonora,0.719996091,14,1944455
1992,Tabasco,0.993180356,17,1711673
1992,Tamaulipas,1.446399826,34,2350664
1992,Tlaxcala,1.985821236,17,856069
1992,Veracruz de Ignacio de la Llave,2.060783395,140,6793533
1992,Yucatán,3.326930102,50,1502887
1992,Zacatecas,0.211375824,3,1419273
1993,Nacional,3.425739696,3138,91600655
1993,Aguascalientes,1.245760169,11,882995
1993,Baja California,5.515437913,109,1976271
1993,Baja California Sur,1.597720585,6,375535
1993,Campeche,1.668515938,10,599335
1993,Coahuila de Zaragoza,1.934582791,41,2119320
1993,Colima,2.994729276,15,500880
1993,Chiapas,0.674248024,24,3559521
1993,Chihuahua,1.938776539,50,2578946
1993,Distrito Federal,9.134519086,804,8801777
1993,Durango,0.980632508,14,1427650
1993,Guanajuato,1.199875709,58,4833834
1993,Guerrero,3.192990129,99,3100542
1993,Hidalgo,1.542699725,35,2268750
1993,Jalisco,5.798008003,350,6036556
1993,México,4.670779558,514,11004587
1993,Michoacán de Ocampo,1.545907945,63,4075275
1993,Morelos,5.097435786,75,1471328
1993,Nayarit,3.169080638,28,883537
1993,Nuevo León,2.928385888,101,3448999
