Periodo,Entidad federativa,Casos confirmados de tuberculosis,Población total,Tasa de incidencia asociada a la tuberculosis (todas las formas) por 100 mil habitantes
2014,Estados Unidos Mexicanos,20126,119713203,16.81184656
2014,Aguascalientes,56,1270174,4.408844772
2014,Baja California,1897,3432944,55.25869341
2014,Baja California Sur,170,741037,22.94082482
2014,Campeche,125,894136,13.9799762
2014,Coahuila de Zaragoza,528,2925594,18.047617
2014,Colima,162,710982,22.78538697
2014,Chiapas,1297,5186572,25.00688316
2014,Chihuahua,697,3673342,18.97454688
2014,Distrito Federal,787,8874724,8.867881412
2014,Durango,210,1746805,12.02194864
2014,Guanajuato,378,5769524,6.551667001
2014,Guerrero,1306,3546710,36.82285837
2014,Hidalgo,192,2842784,6.753942614
2014,Jalisco,1031,7838010,13.153849
2014,México,760,16618929,4.573098543
2014,Michoacán de Ocampo,324,4563849,7.099270813
2014,Morelos,196,1897393,10.32996327
2014,Nayarit,333,1201202,27.72223156
2014,Nuevo León,1105,5013589,22.04009942
2014,Oaxaca,791,3986206,19.84343007
2014,Puebla,663,6131498,10.81301829
2014,Querétaro,229,1974436,11.59824882
2014,Quintana Roo,294,1529877,19.21723119
2014,San Luis Potosí,393,2728208,14.40506002
2014,Sinaloa,1003,2958691,33.90012678
2014,Sonora,927,2892464,32.04879992
2014,Tabasco,673,2359444,28.52366914
2014,Tamaulipas,1095,3502721,31.26141077
2014,Tlaxcala,54,1260628,4.283579295
2014,Veracruz de Ignacio de la Llave,2141,7985893,26.80977569
2014,Yucatán,224,2091513,10.70995017
2014,Zacatecas,85,1563324,5.437132674
2013,Estados Unidos Mexicanos,19703,118395054,16.64174248
2013,Aguascalientes,95,1252265,7.586253708
2013,Baja California,1839,3381080,54.39090468
2013,Baja California Sur,177,718196,24.64508296
2013,Campeche,156,880299,17.72125153
2013,Coahuila de Zaragoza,609,2890108,21.0718769
2013,Colima,117,698295,16.75509634
2013,Chiapas,1246,5119186,24.33980715
2013,Chihuahua,696,3635966,19.14209319
2013,Distrito Federal,811,8893742,9.118771379
2013,Durango,203,1728429,11.74476938
2013,Guanajuato,366,5719709,6.398926938
2013,Guerrero,1337,3523858,37.94136994
